Hurricane_Name,Date, Time , Lat , Lon , Wind(mph) , Pressure(mb) , Storm Type ,Storm, Dates , Max Winds (mph) , Min pressure (mb) , Maximum Strength 
Hurricane-Andrea,5/20/2019,6:00:00 PM,28.10,-68.60,40,1008,Subtropical Storm,,,,,
Hurricane-Andrea,5/20/2019,9:00:00 PM,28.62,-68.70,40,1007,Subtropical Storm,,,,,
Hurricane-Andrea,5/21/2019,12:00:00 AM,29.10,-68.80,40,1006,Subtropical Storm,,,,,
Hurricane-Andrea,5/21/2019,3:00:00 AM,29.52,-68.91,40,1006,Subtropical Storm,,,,,
Hurricane-Andrea,5/21/2019,6:00:00 AM,29.90,-69.00,40,1007,Subtropical Storm,,,,,
Hurricane-Andrea,5/21/2019,9:00:00 AM,30.29,-69.10,37,1008,Subtropical Storm,,,,,
Hurricane-Andrea,5/21/2019,12:00:00 PM,30.60,-69.10,35,1009,Tropical Low,,,,,
Hurricane-Andrea,5/21/2019,3:00:00 PM,30.71,-68.92,35,1009,Tropical Low,,,,,
Hurricane-Andrea,5/21/2019,6:00:00 PM,30.80,-68.60,35,1009,Tropical Low,,,,,
Hurricane-Andrea,5/21/2019,9:00:00 PM,31.04,-68.19,35,1009,Tropical Low,,,,,
Hurricane-Andrea,5/22/2019,12:00:00 AM,31.30,-67.70,35,1010,Tropical Low,,,,,
Hurricane-Andrea,5/22/2019,3:00:00 AM,31.48,-67.20,31,1010,Tropical Low,,,,,
Hurricane-Andrea,5/22/2019,6:00:00 AM,31.60,-66.70,29,1011,Tropical Low,,,,,
Hurricane-Barry,7/10/2019,12:00:00 PM,28.50,-86.50,29,1009,Tropical Disturbance,,,,,
Hurricane-Barry,7/10/2019,3:00:00 PM,28.30,-86.81,31,1009,Tropical Disturbance,,,,,
Hurricane-Barry,7/10/2019,6:00:00 PM,28.10,-87.10,35,1009,Tropical Disturbance,,,,,
Hurricane-Barry,7/10/2019,9:00:00 PM,27.93,-87.37,35,1008,Tropical Disturbance,,,,,
Hurricane-Barry,7/11/2019,12:00:00 AM,27.80,-87.60,35,1008,Tropical Depression,,,,,
Hurricane-Barry,7/11/2019,3:00:00 AM,27.73,-87.81,37,1007,Tropical Depression,,,,,
Hurricane-Barry,7/11/2019,6:00:00 AM,27.70,-88.00,40,1007,Tropical Storm,,,,,
Hurricane-Barry,7/11/2019,9:00:00 AM,27.69,-88.20,40,1006,Tropical Storm,,,,,
Hurricane-Barry,7/11/2019,12:00:00 PM,27.70,-88.40,40,1005,Tropical Storm,,,,,
Hurricane-Barry,7/11/2019,3:00:00 PM,27.69,-88.60,43,1005,Tropical Storm,,,,,
Hurricane-Barry,7/11/2019,6:00:00 PM,27.70,-88.80,46,1005,Tropical Storm,,,,,
Hurricane-Barry,7/11/2019,9:00:00 PM,27.74,-88.99,48,1003,Tropical Storm,,,,,
Hurricane-Barry,7/12/2019,12:00:00 AM,27.80,-89.20,52,1001,Tropical Storm,,,,,
Hurricane-Barry,7/12/2019,3:00:00 AM,27.84,-89.44,52,1001,Tropical Storm,,,,,
Hurricane-Barry,7/12/2019,6:00:00 AM,27.90,-89.70,52,1001,Tropical Storm,,,,,
Hurricane-Barry,7/12/2019,9:00:00 AM,27.99,-89.95,54,999,Tropical Storm,,,,,
