hurricane_name,date,time,lat,lon,wind_mph,pressure_mb,storm_type ,city,state,zipcode
Hurricane-Andrea,5/20/2019,6:00:00 PM,28.1,-68.6,40,1008,Subtropical Storm,,,
Hurricane-Andrea,5/20/2019,9:00:00 PM,28.62,-68.7,40,1007,Subtropical Storm,,,
Hurricane-Andrea,5/21/2019,12:00:00 AM,29.1,-68.8,40,1006,Subtropical Storm,,,
Hurricane-Andrea,5/21/2019,3:00:00 AM,29.52,-68.91,40,1006,Subtropical Storm,,,
Hurricane-Andrea,5/21/2019,6:00:00 AM,29.9,-69.0,40,1007,Subtropical Storm,,,
Hurricane-Andrea,5/21/2019,9:00:00 AM,30.29,-69.1,37,1008,Subtropical Storm,,,
Hurricane-Andrea,5/21/2019,12:00:00 PM,30.6,-69.1,35,1009,Tropical Low,,,
Hurricane-Andrea,5/21/2019,3:00:00 PM,30.71,-68.92,35,1009,Tropical Low,,,
Hurricane-Andrea,5/21/2019,6:00:00 PM,30.8,-68.6,35,1009,Tropical Low,,,
Hurricane-Andrea,5/21/2019,9:00:00 PM,31.04,-68.19,35,1009,Tropical Low,,,
Hurricane-Andrea,5/22/2019,12:00:00 AM,31.3,-67.7,35,1010,Tropical Low,,,
Hurricane-Andrea,5/22/2019,3:00:00 AM,31.48,-67.2,31,1010,Tropical Low,,,
Hurricane-Andrea,5/22/2019,6:00:00 AM,31.6,-66.7,29,1011,Tropical Low,,,
Hurricane-Barry,7/10/2019,12:00:00 PM,28.5,-86.5,29,1009,Tropical Disturbance,,,
Hurricane-Barry,7/10/2019,3:00:00 PM,28.3,-86.81,31,1009,Tropical Disturbance,,,
Hurricane-Barry,7/10/2019,6:00:00 PM,28.1,-87.1,35,1009,Tropical Disturbance,,,
Hurricane-Barry,7/10/2019,9:00:00 PM,27.93,-87.37,35,1008,Tropical Disturbance,,,
Hurricane-Barry,7/11/2019,12:00:00 AM,27.8,-87.6,35,1008,Tropical Depression,,,
Hurricane-Barry,7/11/2019,3:00:00 AM,27.73,-87.81,37,1007,Tropical Depression,,,
Hurricane-Barry,7/11/2019,6:00:00 AM,27.7,-88.0,40,1007,Tropical Storm,,,
Hurricane-Barry,7/11/2019,9:00:00 AM,27.69,-88.2,40,1006,Tropical Storm,,,
Hurricane-Barry,7/11/2019,12:00:00 PM,27.7,-88.4,40,1005,Tropical Storm,,,
Hurricane-Barry,7/11/2019,3:00:00 PM,27.69,-88.6,43,1005,Tropical Storm,,,
Hurricane-Barry,7/11/2019,6:00:00 PM,27.7,-88.8,46,1005,Tropical Storm,,,
Hurricane-Barry,7/11/2019,9:00:00 PM,27.74,-88.99,48,1003,Tropical Storm,,,
Hurricane-Barry,7/12/2019,12:00:00 AM,27.8,-89.2,52,1001,Tropical Storm,,,
Hurricane-Barry,7/12/2019,3:00:00 AM,27.84,-89.44,52,1001,Tropical Storm,,,
Hurricane-Barry,7/12/2019,6:00:00 AM,27.9,-89.7,52,1001,Tropical Storm,,,
Hurricane-Barry,7/12/2019,9:00:00 AM,27.99,-89.95,54,999,Tropical Storm,,,
Hurricane-Barry,7/12/2019,12:00:00 PM,28.1,-90.2,58,998,Tropical Storm,,,
Hurricane-Barry,7/12/2019,3:00:00 PM,28.25,-90.46,60,995,Tropical Storm,,,
Hurricane-Barry,7/12/2019,6:00:00 PM,28.4,-90.7,63,993,Tropical Storm,,,
Hurricane-Barry,7/12/2019,9:00:00 PM,28.5,-90.91,66,993,Tropical Storm,,,
