year,storm, dates , max_winds_mph , min_pressure_mb , maximum_strength 
2018,ALBERTO,5/25 - 5/31,55,990,Tropical Storm
2018,BERYL,7/4 - 7/17,70,991,Hurricane
2018,CHRIS,7/5 - 7/17,90,969,Hurricane
2018,DEBBY,8/2 - 8/10,45,998,Tropical Storm
2018,ERNESTO,8/15 - 8/19,40,999,Tropical Storm
2018,FLORENCE,8/30 - 9/18,130,937,Hurricane
2018,GORDON,9/2 - 9/7,60,996,Tropical Storm
2018,HELENE,9/7 - 9/17,95,967,Hurricane
2018,ISAAC,9/7 - 9/15,65,995,Hurricane
2018,JOYCE,9/12 - 9/21,45,995,Tropical Storm
2018,KIRK,9/22 - 9/28,55,998,Tropical Storm
2018,LESLIE,9/22 - 10/14,80,968,Hurricane
2018,MICHAEL,10/6 - 10/15,140,919,Hurricane
2018,NADINE,10/8 - 10/12,55,995,Tropical Storm
2018,NOT_NAMED,9/21 - 9/22,30,1007,Tropical Depression
2018,OSCAR,10/26 - 11/4,95,952,Hurricane
2017,ARLENE,4/16 - 4/22,55,986,Tropical Storm
2017,BRET,6/18 - 6/20,45,1007,Tropical Storm
2017,CINDY,6/19 - 6/24,50,991,Tropical Storm
2017,DON,7/17 - 7/18,45,1005,Tropical Storm
2017,EMILY,7/30 - 8/2,50,1001,Tropical Storm
2017,FRANKLIN,8/6 - 8/10,75,981,Hurricane
2017,GERT,8/12 - 8/18,95,962,Hurricane
2017,HARVEY,8/16 - 9/2,115,937,Hurricane
2017,IRMA,8/30 - 9/13,155,914,Hurricane
2017,JOSE,9/4 - 9/25,135,938,Hurricane
2017,KATIA,9/5 - 9/9,90,972,Hurricane
2017,LEE,9/14 - 9/30,100,962,Hurricane
2017,MARIA,9/16 - 10/2,150,908,Hurricane
2017,NATE,10/3 - 10/11,80,981,Hurricane
2017,NOT_NAMED,8/27 - 8/29,40,1004,Extratropical
2017,NOT_NAMED,7/5 - 7/7,25,1009,Tropical Depression
2017,OPHELIA,10/6 - 10/17,100,957,Hurricane
2017,PHILIPPE,10/27 - 10/29,35,1000,Tropical Storm
2017,RINA,11/4 - 11/9,50,991,Tropical Storm
2016,ALEX,1/7 - 1/17,75,978,Hurricane
2016,BONNIE,5/27 - 6/9,40,1006,Tropical Storm
2016,COLIN,6/5 - 6/8,50,987,Tropical Storm
2016,DANIELLE,6/18 - 6/21,40,1007,Tropical Storm
2016,EARL,8/2 - 8/6,75,979,Hurricane
2016,FIONA,8/16 - 8/24,45,1004,Tropical Storm
2016,GASTON,8/21 - 9/3,105,955,Hurricane
2016,HERMINE,8/28 - 9/8,70,981,Hurricane
2016,IAN,9/12 - 9/17,55,984,Tropical Storm
2016,JULIA,9/13 - 9/21,45,1007,Tropical Storm
2016,KARL,9/12 - 9/26,60,980,Tropical Storm
2016,LISA,9/19 - 9/26,45,999,Tropical Storm
2016,MATTHEW,9/28 - 10/10,145,934,Hurricane
2016,NICOLE,10/4 - 10/19,120,950,Hurricane
2016,NOT_NAMED,8/27 - 9/1,30,1010,Tropical Depression
2016,OTTO,11/17 - 11/26,100,975,Hurricane
2015,ANA,5/6 - 5/12,50,998,Tropical Storm
2015,BILL,6/16 - 6/21,50,997,Tropical Storm
2015,CLAUDETTE,7/12 - 7/15,45,1003,Tropical Storm
2015,DANNY,8/17 - 8/24,110,960,Hurricane
2015,ERIKA,8/24 - 8/28,45,1001,Tropical Storm
2015,FRED,8/30 - 9/6,75,986,Hurricane
2015,GRACE,9/5 - 9/9,50,1000,Tropical Storm
2015,HENRI,9/8 - 9/11,45,1003,Tropical Storm
2015,IDA,9/15 - 9/28,45,1001,Tropical Storm
2015,JOAQUIN,9/26 - 10/15,135,931,Hurricane
2015,KATE,11/8 - 11/13,75,980,Hurricane
2015,NOT_NAMED,9/15 - 9/19,30,1006,Tropical Depression
2014,ARTHUR,6/28 - 7/9,85,972,Hurricane
2014,BERTHA,7/29 - 8/9,70,996,Hurricane
2014,CRISTOBAL,8/23 - 9/2,75,963,Hurricane
2014,DOLLY,9/1 - 9/4,45,1000,Tropical Storm
2014,EDOUARD,9/10 - 9/22,105,955,Hurricane
2014,FAY,10/10 - 10/13,70,983,Hurricane
2014,GONZALO,10/11 - 10/20,125,940,Hurricane
2014,HANNA,10/21 - 10/29,35,1000,Tropical Storm
2014,NOT_NAMED,7/19 - 7/23,30,1012,Tropical Depression
2013,ANDREA,6/5 - 6/8,55,992,Tropical Storm
2013,BARBARA,5/28 - 5/30,70,983,Hurricane
2013,BARRY,6/16 - 6/21,40,1003,Tropical Storm
2013,CHANTAL,7/7 - 7/10,55,1003,Tropical Storm
2013,DORIAN,7/22 - 8/4,50,1002,Tropical Storm
2013,ERIN,8/15 - 8/19,40,1006,Tropical Storm
2013,FERNAND,8/25 - 8/26,50,1001,Tropical Storm
2013,GABRIELLE,9/4 - 9/13,55,1003,Tropical Storm
2013,HUMBERTO,9/8 - 9/19,80,979,Hurricane
2013,INGRID,9/12 - 9/17,75,983,Hurricane
2013,JERRY,9/28 - 10/6,45,1005,Tropical Storm
2013,KAREN,10/3 - 10/6,55,998,Tropical Storm
2013,LORENZO,10/21 - 10/26,45,1000,Tropical Storm
2013,MELISSA,11/17 - 11/23,55,980,Tropical Storm
2013,NOT_NAMED,12/3 - 12/7,55,995,Extratropical
2013,NOT_NAMED,9/6 - 9/7,30,1008,Tropical Depression
2012,ALBERTO,5/19 - 5/23,50,995,Tropical Storm
2012,BERYL,5/25 - 6/2,60,992,Tropical Storm
2012,CHRIS,6/17 - 6/24,75,974,Hurricane
2012,DEBBY,6/23 - 6/27,55,990,Tropical Storm
2012,ERNESTO,8/1 - 8/10,85,973,Hurricane
2012,FLORENCE,8/3 - 8/8,50,1002,Tropical Storm
2012,GORDON,8/15 - 8/21,95,965,Hurricane
2012,HELENE,8/9 - 8/19,40,1004,Tropical Storm
2012,ISAAC,8/20 - 9/1,70,965,Hurricane
2012,JOYCE,8/21 - 8/24,35,1006,Tropical Storm
2012,KIRK,8/28 - 9/3,90,970,Hurricane
2012,LESLIE,8/28 - 9/12,70,968,Hurricane
2012,MICHAEL,9/2 - 9/12,100,964,Hurricane
2012,NADINE,9/10 - 10/4,80,978,Hurricane
2012,OSCAR,10/2 - 10/5,45,994,Tropical Storm
2012,PATTY,10/10 - 10/13,40,1005,Tropical Storm
2012,RAFAEL,10/12 - 10/26,80,966,Hurricane
2012,SANDY,10/21 - 10/31,100,940,Hurricane
2012,TONY,10/21 - 10/26,45,1000,Tropical Storm
2011,ARLENE,6/28 - 7/1,55,993,Tropical Storm
2011,BRET,7/16 - 7/23,60,995,Tropical Storm
2011,CINDY,7/20 - 7/23,60,994,Tropical Storm
2011,DON,7/27 - 7/30,45,997,Tropical Storm
2011,EMILY,8/2 - 8/7,45,1003,Tropical Storm
2011,FRANKLIN,8/12 - 8/16,40,1004,Tropical Storm
2011,GERT,8/13 - 8/17,55,1000,Tropical Storm
2011,HARVEY,8/19 - 8/22,55,994,Tropical Storm
2011,IRENE,8/21 - 8/30,105,942,Hurricane
