CELL_TYPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE,type,longitude,latitude
TVS,30,KIAD,76,X1,2024-07-01T00:03:15Z,135,40,Point,-76.9275,38.6106
TVS,41,KBWI,90,N4,2024-07-01T00:05:01Z,204,35,Point,-76.9325,38.5563
TVS,50,KDCA,78,R3,2024-07-01T00:07:32Z,102,25,Point,-76.4415,38.6711
TVS,37,KDEN,81,Q7,2024-07-01T00:11:04Z,118,35,Point,-103.861,39.451
TVS,44,KDEN,90,U4,2024-07-01T00:14:14Z,119,34,Point,-103.8861,39.4503
TVS,38,KDEN,87,U4,2024-07-01T00:17:04Z,119,36,Point,-103.8486,39.4339
TVS,32,KDEN,74,U4,2024-07-01T00:17:04Z,117,37,Point,-103.8166,39.4447
TVS,28,KIAD,78,W2,2024-07-01T00:18:05Z,132,44,Point,-76.8338,38.5908
TVS,28,KIAD,82,W2,2024-07-01T00:18:05Z,128,45,Point,-76.7748,38.6194
TVS,29,KIAD,80,E3,2024-07-01T00:39:15Z,117,44,Point,-76.6937,38.7478
TVS,40,KPUX,102,L1,2024-07-01T01:26:13Z,35,39,Point,-103.7028,38.9919
TVS,73,KCYS,58,Z1,2024-07-01T01:54:14Z,330,14,Point,-104.9609,41.354
TVS,28,KPUX,82,W2,2024-07-01T03:15:27Z,69,45,Point,-103.2861,38.7256
TVS,30,KPUX,87,W2,2024-07-01T03:19:53Z,69,46,Point,-103.2662,38.7314
TVS,11,KGLD,56,H3,2024-07-01T03:21:26Z,243,84,Point,-103.2941,38.7199
TVS,33,KPUX,97,W2,2024-07-01T03:24:07Z,70,47,Point,-103.2403,38.7244
TVS,23,KPUX,70,W2,2024-07-01T03:24:07Z,71,48,Point,-103.2144,38.7167
TVS,13,KGLD,66,H3,2024-07-01T03:26:47Z,241,80,Point,-103.19,38.7104
TVS,23,KPUX,70,W2,2024-07-01T03:28:21Z,70,47,Point,-103.2403,38.7244
TVS,25,KPUX,80,W2,2024-07-01T03:36:54Z,72,50,Point,-103.1683,38.7134
TVS,13,KGLD,64,H3,2024-07-01T03:44:02Z,240,77,Point,-103.1202,38.7161
TVS,18,KPUX,60,W2,2024-07-01T03:45:28Z,73,53,Point,-103.1016,38.7135
TVS,37,KRDU,71,P4,2024-07-01T03:59:12Z,175,31,Point,-78.6419,35.4866
TVS,18,KGLD,84,H3,2024-07-01T04:00:06Z,238,74,Point,-103.0363,38.7052
TVS,22,KGLD,95,H3,2024-07-01T04:21:29Z,236,68,Point,-102.9008,38.7265
TVS,25,KGLD,105,H3,2024-07-01T04:26:49Z,236,68,Point,-102.9008,38.7265
TVS,23,KGLD,95,H3,2024-07-01T04:26:49Z,233,68,Point,-102.856,38.6786
TVS,16,KGLD,68,H3,2024-07-01T04:32:11Z,235,67,Point,-102.8689,38.7201
TVS,24,KGLD,97,H3,2024-07-01T04:37:31Z,234,64,Point,-102.803,38.7343
