radar_name,city,state
KABR,Aberdeen,SD
KABX,Albuquerque,NM
KADW,Joint Base Andrews,MD
KAKQ,Wakefield,VA
KAMA,Amarillo,TX
KAMX,Miami,FL
KAPX,Gaylord,MI
KARX,La Crosse,WI
KATL,Hartsfield-Jackson Atlanta International Airport,GA
KATX,Seattle,WA
KBBX,Beale AFB,CA
KBGM,Binghamton,NY
KBHX,Eureka,CA
KBIS,Bismarck,ND
KBLX,Billings,MT
KBMX,Birmingham,AL
KBNA,Nashville International Airport,TN
KBOS,Boston Logan International Airport,MA
KBOX,Boston,MA
KBRO,Brownsville,TX
KBUF,Buffalo,NY
KBWI,Baltimore/Washington International Thurgood Marshall Airport,MD
KBYX,Key West,FL
KCAE,Columbia,SC
KCBW,Caribou,ME
KCBX,Boise,ID
KCCX,State College,PA
KCLE,Cleveland,OH
KCLT,Charlotte Douglas International Airport,NC
KCLX,Charleston,SC
KCMH,John Glenn Columbus International Airport,OH
KCRI,Sinton,TX
KCVG,Cincinnati/NorthernKY International Airport,KY
KCXX,Burlington,VT
KCYS,Cheyenne,WY
KDAL,Dallas Love Field Airport,TX
KDAX,Sacramento,CA
KDAY,Dayton International Airport,OH
KDCA,Ronald Reagan Washington National Airport,VA
KDDC,Dodge City,KS
KDEN,Denver International Airport,CO
KDFW,Dallas/Fort Worth International Airport,TX
KDFX,Laughlin AFB,TX
KDIX,Fort Dix,NJ
KDLH,Duluth,MN
KDMX,Des Moines,IA
KDOX,Dover,DE
KDTW,Detroit Metropolitan Wayne County Airport,MI
KDTX,Detroit,MI
KDVN,Davenport,IA
KDYX,Dyess AFB,TX
KEAX,Kansas City,MO
KECX,Raleigh,NC
KEMX,Tucson,AZ
KENX,Albany,NY
KEOX,Fort Rucker,AL
KEPZ,El Paso,TX
KESX,Las Vegas,NV
KEVX,Eglin AFB,FL
KEWR,Newark Liberty International Airport,NJ
KEWX,New Braunfels,TX
KEYX,Edwards AFB,CA
KFCX,Roanoke,VA
KFDR,Frederick,OK
KFDX,Wichita Falls,TX
KFFC,Atlanta,GA
KFLL,Fort Lauderdale-Hollywood International Airport,FL
KFSD,Sioux Falls,SD
KFSX,Flagstaff,AZ
KFTG,Denver,CO
KFWS,DallasFort Worth,TX
KGGW,Glasgow,MT
KGJX,Grand Junction,CO
KGLD,Goodland,KS
KGRB,Green Bay,WI
KGRK,Killeen,TX
KGRR,Grand Rapids,MI
KGSP,GreenvilleSpartanburg,SC
KGWX,Columbus AFB,MS
KGYX,Gray,ME
KHDX,Holloman AFB,NM
